timestamp,dataset,prompt,reference,complexity,compressed_prompt,initial_tokens,final_tokens,model_chosen,output,carbon_footprint_kg,evaluation_score,score_type
2026-01-09T07:27:26.770597,glue,"Sentence: it 's a charming and often affecting journey . 
Sentiment (positive, negative):",1,Easy,"Sentence: it 's a charming and often affecting journey . 
Sentiment (positive, negative):",25,22,gemini,Positive,5.4126132318708554e-08,1.0,accuracy
2026-01-09T07:27:32.228828,glue,"Sentence: unflinchingly bleak and desperate 
Sentiment (positive, negative):",0,Easy,"Sentence: unflinchingly bleak and desperate 
Sentiment (positive, negative):",23,21,gemini,Negative,7.534153460273422e-08,1.0,accuracy
2026-01-09T07:27:37.993507,glue,"Sentence: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 
Sentiment (positive, negative):",1,Easy,"Sentence: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 
Sentiment (positive, negative):",40,36,gemini,Positive,9.810243429820491e-08,1.0,accuracy
2026-01-09T07:27:44.812947,glue,"Sentence: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 
Sentiment (positive, negative):",1,Easy,"Sentence: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 
Sentiment (positive, negative):",38,34,gemini,Positive,1.311878981771657e-07,1.0,accuracy
2026-01-09T07:27:51.579674,glue,"Sentence: it 's slow -- very , very slow . 
Sentiment (positive, negative):",0,Easy,"Sentence: it 's slow -- very , very slow . 
Sentiment (positive, negative):",24,21,gemini,Negative,1.5079612171387954e-07,1.0,accuracy
2026-01-09T07:28:02.856918,squad_v2,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend","{'text': ['France', 'France', 'France', 'France'], 'answer_start': [159, 159, 159, 159]}",Easy,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend",181,78,gemini,"Gemini Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 830.187968ms. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https:/",2.2572826093303928e-07,0.0,EM
2026-01-09T07:28:06.531701,squad_v2,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend","{'text': ['10th and 11th centuries', 'in the 10th and 11th centuries', '10th and 11th centuries', '10th and 11th centuries'], 'answer_start': [94, 87, 94, 94]}",Easy,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend",182,81,gemini,"Gemini Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 56.599672776s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https:/",2.3244724713198204e-07,0.0,EM
2026-01-09T07:28:10.214976,squad_v2,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend","{'text': ['Denmark, Iceland and Norway', 'Denmark, Iceland and Norway', 'Denmark, Iceland and Norway', 'Denmark, Iceland and Norway'], 'answer_start': [256, 256, 256, 256]}",Easy,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend",184,81,gemini,"Gemini Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 52.924068232s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https:/",2.391042408360804e-07,0.0,EM
2026-01-09T07:28:13.797994,squad_v2,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend","{'text': ['Rollo', 'Rollo', 'Rollo', 'Rollo'], 'answer_start': [308, 308, 308, 308]}",Easy,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend",181,81,gemini,"Gemini Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 49.261179788s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https:/",2.4459543283771977e-07,0.0,EM
2026-01-09T07:28:17.423124,squad_v2,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend","{'text': ['10th century', 'the first half of the 10th century', '10th', '10th'], 'answer_start': [671, 649, 671, 671]}",Easy,"Context: The Normans (Norman: Nourmands; French: Normands; Latin: Normanni) were the people who in the 10th and 11th centuries gave their name to Normandy, a region in France. They were descended from Norse (""Norman"" comes from ""Norseman"") raiders and pirates from Denmark, Iceland and Norway who, under their leader Rollo, agreed to swear fealty to King Charles III of West Francia. Through generations of assimilation and mixing with the native Frankish and Roman-Gaulish populations, their descend",186,82,gemini,"Gemini Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash
Please retry in 45.674310174s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https:/",2.5093325336514164e-07,0.0,EM
